Gene stable ID,Transcript stable ID,Gene name,Gene description,Human gene name,Human gene stable ID
ENSPANG00000009679,ENSPANT00000034015,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11A,ENSG00000008128
ENSPANG00000009679,ENSPANT00000034015,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11B,ENSG00000248333
ENSPANG00000009679,ENSPANT00000032044,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11A,ENSG00000008128
ENSPANG00000009679,ENSPANT00000032044,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11B,ENSG00000248333
ENSPANG00000009679,ENSPANT00000037080,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11A,ENSG00000008128
ENSPANG00000009679,ENSPANT00000037080,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11B,ENSG00000248333
ENSPANG00000009679,ENSPANT00000052982,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11A,ENSG00000008128
ENSPANG00000009679,ENSPANT00000052982,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11B,ENSG00000248333
ENSPANG00000009679,ENSPANT00000055121,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11A,ENSG00000008128
ENSPANG00000009679,ENSPANT00000055121,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11B,ENSG00000248333
ENSPANG00000009679,ENSPANT00000046584,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11A,ENSG00000008128
ENSPANG00000009679,ENSPANT00000046584,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11B,ENSG00000248333
ENSPANG00000009679,ENSPANT00000049566,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11A,ENSG00000008128
ENSPANG00000009679,ENSPANT00000049566,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11B,ENSG00000248333
ENSPANG00000009961,ENSPANT00000057249,CCDC130,coiled-coil domain containing 130 [Source:NCBI gene (formerly Entrezgene);Acc:101022551],CCDC130,ENSG00000104957
ENSPANG00000009961,ENSPANT00000001174,CCDC130,coiled-coil domain containing 130 [Source:NCBI gene (formerly Entrezgene);Acc:101022551],CCDC130,ENSG00000104957
ENSPANG00000010235,ENSPANT00000024099,,60S ribosomal protein L11-like [Source:NCBI gene (formerly Entrezgene);Acc:101022654],RPL11,ENSG00000142676
ENSPANG00000010408,ENSPANT00000057402,NRG2,neuregulin 2 [Source:NCBI gene (formerly Entrezgene);Acc:101001301],NRG2,ENSG00000158458
ENSPANG00000010408,ENSPANT00000036158,NRG2,neuregulin 2 [Source:NCBI gene (formerly Entrezgene);Acc:101001301],NRG2,ENSG00000158458
ENSPANG00000010408,ENSPANT00000036090,NRG2,neuregulin 2 [Source:NCBI gene (formerly Entrezgene);Acc:101001301],NRG2,ENSG00000158458
ENSPANG00000010408,ENSPANT00000053917,NRG2,neuregulin 2 [Source:NCBI gene (formerly Entrezgene);Acc:101001301],NRG2,ENSG00000158458
ENSPANG00000010408,ENSPANT00000032348,NRG2,neuregulin 2 [Source:NCBI gene (formerly Entrezgene);Acc:101001301],NRG2,ENSG00000158458
ENSPANG00000010408,ENSPANT00000018091,NRG2,neuregulin 2 [Source:NCBI gene (formerly Entrezgene);Acc:101001301],NRG2,ENSG00000158458
ENSPANG00000010686,ENSPANT00000043424,,myosin light chain 6 [Source:NCBI gene (formerly Entrezgene);Acc:101000065],,
ENSPANG00000010686,ENSPANT00000018705,,myosin light chain 6 [Source:NCBI gene (formerly Entrezgene);Acc:101000065],,
ENSPANG00000010686,ENSPANT00000009527,,myosin light chain 6 [Source:NCBI gene (formerly Entrezgene);Acc:101000065],,
ENSPANG00000010686,ENSPANT00000039938,,myosin light chain 6 [Source:NCBI gene (formerly Entrezgene);Acc:101000065],,
ENSPANG00000010789,ENSPANT00000003701,CWC27,CWC27 spliceosome associated cyclophilin [Source:NCBI gene (formerly Entrezgene);Acc:101022207],CWC27,ENSG00000153015
ENSPANG00000010789,ENSPANT00000043350,CWC27,CWC27 spliceosome associated cyclophilin [Source:NCBI gene (formerly Entrezgene);Acc:101022207],CWC27,ENSG00000153015
ENSPANG00000010890,ENSPANT00000012360,,,,
ENSPANG00000010974,ENSPANT00000041775,URI1,URI1 prefoldin like chaperone [Source:NCBI gene (formerly Entrezgene);Acc:101000948],URI1,ENSG00000105176
ENSPANG00000010974,ENSPANT00000011457,URI1,URI1 prefoldin like chaperone [Source:NCBI gene (formerly Entrezgene);Acc:101000948],URI1,ENSG00000105176
ENSPANG00000011067,ENSPANT00000022328,,"SLX1 homolog A, structure-specific endonuclease subunit [Source:NCBI gene (formerly Entrezgene);Acc:101010963]",SLX1B,ENSG00000181625
ENSPANG00000011067,ENSPANT00000022328,,"SLX1 homolog A, structure-specific endonuclease subunit [Source:NCBI gene (formerly Entrezgene);Acc:101010963]",SLX1A,ENSG00000132207
ENSPANG00000011067,ENSPANT00000045019,,"SLX1 homolog A, structure-specific endonuclease subunit [Source:NCBI gene (formerly Entrezgene);Acc:101010963]",SLX1B,ENSG00000181625
ENSPANG00000011067,ENSPANT00000045019,,"SLX1 homolog A, structure-specific endonuclease subunit [Source:NCBI gene (formerly Entrezgene);Acc:101010963]",SLX1A,ENSG00000132207
ENSPANG00000011199,ENSPANT00000023208,,,,
ENSPANG00000011540,ENSPANT00000019904,,,,
ENSPANG00000011781,ENSPANT00000024104,,,,
ENSPANG00000011906,ENSPANT00000020704,,60S ribosomal protein L9 pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:110743325],,
ENSPANG00000012050,ENSPANT00000010870,,ribosomal protein L13a [Source:NCBI gene (formerly Entrezgene);Acc:101006867],,
ENSPANG00000012050,ENSPANT00000054782,,ribosomal protein L13a [Source:NCBI gene (formerly Entrezgene);Acc:101006867],,
ENSPANG00000012698,ENSPANT00000005554,MICA,MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090],MICA,ENSG00000204520
ENSPANG00000012801,ENSPANT00000021430,,apolipoprotein O like [Source:NCBI gene (formerly Entrezgene);Acc:101002018],APOOL,ENSG00000155008
ENSPANG00000012801,ENSPANT00000047549,,apolipoprotein O like [Source:NCBI gene (formerly Entrezgene);Acc:101002018],APOOL,ENSG00000155008
ENSPANG00000012801,ENSPANT00000032294,,apolipoprotein O like [Source:NCBI gene (formerly Entrezgene);Acc:101002018],APOOL,ENSG00000155008
ENSPANG00000012801,ENSPANT00000031536,,apolipoprotein O like [Source:NCBI gene (formerly Entrezgene);Acc:101002018],APOOL,ENSG00000155008
ENSPANG00000012833,ENSPANT00000025921,,DnaJ heat shock protein family (Hsp40) member C8 [Source:NCBI gene (formerly Entrezgene);Acc:101008893],,
ENSPANG00000013109,ENSPANT00000053842,SSC5D,scavenger receptor cysteine rich family member with 5 domains [Source:NCBI gene (formerly Entrezgene);Acc:101023970],SSC5D,ENSG00000179954
ENSPANG00000013109,ENSPANT00000013531,SSC5D,scavenger receptor cysteine rich family member with 5 domains [Source:NCBI gene (formerly Entrezgene);Acc:101023970],SSC5D,ENSG00000179954
ENSPANG00000013323,ENSPANT00000009228,BRCA2,BRCA2 DNA repair associated [Source:NCBI gene (formerly Entrezgene);Acc:101020669],BRCA2,ENSG00000139618
ENSPANG00000013323,ENSPANT00000041411,BRCA2,BRCA2 DNA repair associated [Source:NCBI gene (formerly Entrezgene);Acc:101020669],BRCA2,ENSG00000139618
ENSPANG00000014329,ENSPANT00000040073,WIZ,WIZ zinc finger [Source:NCBI gene (formerly Entrezgene);Acc:101003962],WIZ,ENSG00000011451
ENSPANG00000014329,ENSPANT00000017306,WIZ,WIZ zinc finger [Source:NCBI gene (formerly Entrezgene);Acc:101003962],WIZ,ENSG00000011451
ENSPANG00000014329,ENSPANT00000043096,WIZ,WIZ zinc finger [Source:NCBI gene (formerly Entrezgene);Acc:101003962],WIZ,ENSG00000011451
ENSPANG00000014392,ENSPANT00000026808,RPS5,ribosomal protein S5 [Source:NCBI gene (formerly Entrezgene);Acc:101013933],RPS5,ENSG00000083845
ENSPANG00000014392,ENSPANT00000036467,RPS5,ribosomal protein S5 [Source:NCBI gene (formerly Entrezgene);Acc:101013933],RPS5,ENSG00000083845
ENSPANG00000014392,ENSPANT00000046316,RPS5,ribosomal protein S5 [Source:NCBI gene (formerly Entrezgene);Acc:101013933],RPS5,ENSG00000083845
ENSPANG00000014419,ENSPANT00000010659,,40S ribosomal protein S16 pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101021213],,
ENSPANG00000014419,ENSPANT00000017139,,40S ribosomal protein S16 pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101021213],,
ENSPANG00000014470,ENSPANT00000000261,,"alkaline phosphatase, germ cell type [Source:NCBI gene (formerly Entrezgene);Acc:101026727]",ALPG,ENSG00000163286
ENSPANG00000014470,ENSPANT00000000261,,"alkaline phosphatase, germ cell type [Source:NCBI gene (formerly Entrezgene);Acc:101026727]",ALPP,ENSG00000163283
ENSPANG00000014564,ENSPANT00000015962,,tenascin XB [Source:NCBI gene (formerly Entrezgene);Acc:101010449],,
ENSPANG00000014564,ENSPANT00000031269,,tenascin XB [Source:NCBI gene (formerly Entrezgene);Acc:101010449],,
ENSPANG00000014564,ENSPANT00000039458,,tenascin XB [Source:NCBI gene (formerly Entrezgene);Acc:101010449],,
ENSPANG00000014564,ENSPANT00000053431,,tenascin XB [Source:NCBI gene (formerly Entrezgene);Acc:101010449],,
ENSPANG00000014732,ENSPANT00000050683,IQCA1,IQ motif containing with AAA domain 1 [Source:NCBI gene (formerly Entrezgene);Acc:101018253],IQCA1,ENSG00000132321
ENSPANG00000014732,ENSPANT00000035973,IQCA1,IQ motif containing with AAA domain 1 [Source:NCBI gene (formerly Entrezgene);Acc:101018253],IQCA1,ENSG00000132321
ENSPANG00000014732,ENSPANT00000014457,IQCA1,IQ motif containing with AAA domain 1 [Source:NCBI gene (formerly Entrezgene);Acc:101018253],IQCA1,ENSG00000132321
ENSPANG00000014732,ENSPANT00000039415,IQCA1,IQ motif containing with AAA domain 1 [Source:NCBI gene (formerly Entrezgene);Acc:101018253],IQCA1,ENSG00000132321
ENSPANG00000015078,ENSPANT00000002445,,immediate early response 3 interacting protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:101003481],AC012254.2,ENSG00000267228
ENSPANG00000015078,ENSPANT00000002445,,immediate early response 3 interacting protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:101003481],IER3IP1,ENSG00000134049
ENSPANG00000015418,ENSPANT00000016479,,,,
ENSPANG00000015817,ENSPANT00000028879,CHRNA5,cholinergic receptor nicotinic alpha 5 subunit [Source:NCBI gene (formerly Entrezgene);Acc:101001648],CHRNA5,ENSG00000169684
ENSPANG00000015817,ENSPANT00000034659,CHRNA5,cholinergic receptor nicotinic alpha 5 subunit [Source:NCBI gene (formerly Entrezgene);Acc:101001648],CHRNA5,ENSG00000169684
ENSPANG00000016341,ENSPANT00000047247,CACNA1D,calcium voltage-gated channel subunit alpha1 D [Source:NCBI gene (formerly Entrezgene);Acc:101002070],CACNA1D,ENSG00000157388
ENSPANG00000016341,ENSPANT00000048126,CACNA1D,calcium voltage-gated channel subunit alpha1 D [Source:NCBI gene (formerly Entrezgene);Acc:101002070],CACNA1D,ENSG00000157388
ENSPANG00000016341,ENSPANT00000006852,CACNA1D,calcium voltage-gated channel subunit alpha1 D [Source:NCBI gene (formerly Entrezgene);Acc:101002070],CACNA1D,ENSG00000157388
ENSPANG00000016341,ENSPANT00000058901,CACNA1D,calcium voltage-gated channel subunit alpha1 D [Source:NCBI gene (formerly Entrezgene);Acc:101002070],CACNA1D,ENSG00000157388
ENSPANG00000016341,ENSPANT00000044569,CACNA1D,calcium voltage-gated channel subunit alpha1 D [Source:NCBI gene (formerly Entrezgene);Acc:101002070],CACNA1D,ENSG00000157388
ENSPANG00000016500,ENSPANT00000027408,,,RPS17,ENSG00000182774
ENSPANG00000016500,ENSPANT00000004769,,,RPS17,ENSG00000182774
ENSPANG00000016527,ENSPANT00000031365,ZNF48,zinc finger protein 48 [Source:NCBI gene (formerly Entrezgene);Acc:101024109],ZNF48,ENSG00000180035
ENSPANG00000016527,ENSPANT00000002125,ZNF48,zinc finger protein 48 [Source:NCBI gene (formerly Entrezgene);Acc:101024109],ZNF48,ENSG00000180035
ENSPANG00000016595,ENSPANT00000011891,PRSS41,serine protease 41 [Source:NCBI gene (formerly Entrezgene);Acc:101007910],PRSS41,ENSG00000215148
ENSPANG00000016608,ENSPANT00000025932,,,,
ENSPANG00000017026,ENSPANT00000000457,,,PSMC6,ENSG00000100519
ENSPANG00000017026,ENSPANT00000051664,,,PSMC6,ENSG00000100519
ENSPANG00000017642,ENSPANT00000046724,WIPI2,"WD repeat domain, phosphoinositide interacting 2 [Source:NCBI gene (formerly Entrezgene);Acc:101000917]",WIPI2,ENSG00000157954
ENSPANG00000017642,ENSPANT00000002278,WIPI2,"WD repeat domain, phosphoinositide interacting 2 [Source:NCBI gene (formerly Entrezgene);Acc:101000917]",WIPI2,ENSG00000157954
ENSPANG00000017813,ENSPANT00000006970,,,ATAD3C,ENSG00000215915
ENSPANG00000017981,ENSPANT00000020899,,killer cell lectin-like receptor 2 [Source:NCBI gene (formerly Entrezgene);Acc:101013367],,
ENSPANG00000018033,ENSPANT00000019305,PRAG1,"PEAK1 related, kinase-activating pseudokinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025518]",PRAG1,ENSG00000275342
ENSPANG00000018045,ENSPANT00000008486,C16orf87,chromosome 18 C16orf87 homolog [Source:NCBI gene (formerly Entrezgene);Acc:103880411],C16orf87,ENSG00000155330
ENSPANG00000018337,ENSPANT00000026439,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3 [Source:NCBI gene (formerly Entrezgene);Acc:101021791],HNRNPA3,ENSG00000170144
ENSPANG00000018370,ENSPANT00000017899,,protein SEC13 homolog pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101003661],SEC13,ENSG00000157020
ENSPANG00000018758,ENSPANT00000018069,,,NDUFA3,ENSG00000170906
ENSPANG00000019409,ENSPANT00000026185,,"mucin 4, cell surface associated [Source:NCBI gene (formerly Entrezgene);Acc:101000685]",MUC4,ENSG00000145113
ENSPANG00000019953,ENSPANT00000034496,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit [Source:NCBI gene (formerly Entrezgene);Acc:101006072],CHRNA7,ENSG00000175344
ENSPANG00000019953,ENSPANT00000028157,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit [Source:NCBI gene (formerly Entrezgene);Acc:101006072],CHRNA7,ENSG00000175344
ENSPANG00000020022,ENSPANT00000006064,METTL23,methyltransferase like 23 [Source:NCBI gene (formerly Entrezgene);Acc:100998486],METTL23,ENSG00000181038
ENSPANG00000020022,ENSPANT00000036681,METTL23,methyltransferase like 23 [Source:NCBI gene (formerly Entrezgene);Acc:100998486],METTL23,ENSG00000181038
ENSPANG00000020186,ENSPANT00000051080,,melanoma inhibitory activity protein 2-like [Source:NCBI gene (formerly Entrezgene);Acc:103887831],,
ENSPANG00000020186,ENSPANT00000053035,,melanoma inhibitory activity protein 2-like [Source:NCBI gene (formerly Entrezgene);Acc:103887831],,
ENSPANG00000020186,ENSPANT00000053551,,melanoma inhibitory activity protein 2-like [Source:NCBI gene (formerly Entrezgene);Acc:103887831],,
ENSPANG00000020186,ENSPANT00000023028,,melanoma inhibitory activity protein 2-like [Source:NCBI gene (formerly Entrezgene);Acc:103887831],,
ENSPANG00000020186,ENSPANT00000053341,,melanoma inhibitory activity protein 2-like [Source:NCBI gene (formerly Entrezgene);Acc:103887831],,
ENSPANG00000020186,ENSPANT00000038182,,melanoma inhibitory activity protein 2-like [Source:NCBI gene (formerly Entrezgene);Acc:103887831],,
ENSPANG00000020451,ENSPANT00000046874,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:NCBI gene (formerly Entrezgene);Acc:101004676]",CLN3,ENSG00000188603
ENSPANG00000020451,ENSPANT00000006470,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:NCBI gene (formerly Entrezgene);Acc:101004676]",CLN3,ENSG00000188603
ENSPANG00000020451,ENSPANT00000056248,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:NCBI gene (formerly Entrezgene);Acc:101004676]",CLN3,ENSG00000188603
ENSPANG00000020451,ENSPANT00000036996,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:NCBI gene (formerly Entrezgene);Acc:101004676]",CLN3,ENSG00000188603
ENSPANG00000020451,ENSPANT00000050005,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:NCBI gene (formerly Entrezgene);Acc:101004676]",CLN3,ENSG00000188603
ENSPANG00000020451,ENSPANT00000040571,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:NCBI gene (formerly Entrezgene);Acc:101004676]",CLN3,ENSG00000188603
ENSPANG00000020451,ENSPANT00000053728,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:NCBI gene (formerly Entrezgene);Acc:101004676]",CLN3,ENSG00000188603
ENSPANG00000020451,ENSPANT00000054877,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:NCBI gene (formerly Entrezgene);Acc:101004676]",CLN3,ENSG00000188603
ENSPANG00000020451,ENSPANT00000059484,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:NCBI gene (formerly Entrezgene);Acc:101004676]",CLN3,ENSG00000188603
ENSPANG00000020477,ENSPANT00000022344,TACC2,transforming acidic coiled-coil containing protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:101004120],TACC2,ENSG00000138162
ENSPANG00000020477,ENSPANT00000042134,TACC2,transforming acidic coiled-coil containing protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:101004120],TACC2,ENSG00000138162
ENSPANG00000020477,ENSPANT00000046841,TACC2,transforming acidic coiled-coil containing protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:101004120],TACC2,ENSG00000138162
ENSPANG00000020477,ENSPANT00000036086,TACC2,transforming acidic coiled-coil containing protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:101004120],TACC2,ENSG00000138162
ENSPANG00000020477,ENSPANT00000003544,TACC2,transforming acidic coiled-coil containing protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:101004120],TACC2,ENSG00000138162
ENSPANG00000020595,ENSPANT00000055466,FAM107A,family with sequence similarity 107 member A [Source:NCBI gene (formerly Entrezgene);Acc:101009822],FAM107A,ENSG00000168309
ENSPANG00000020595,ENSPANT00000009750,FAM107A,family with sequence similarity 107 member A [Source:NCBI gene (formerly Entrezgene);Acc:101009822],FAM107A,ENSG00000168309
ENSPANG00000020603,ENSPANT00000022260,,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 [Source:NCBI gene (formerly Entrezgene);Acc:101000991],GNG5,ENSG00000174021
ENSPANG00000020635,ENSPANT00000016393,,regulator of telomere elongation helicase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101006334],RTEL1,ENSG00000258366
ENSPANG00000020635,ENSPANT00000016393,,regulator of telomere elongation helicase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101006334],RTEL1-TNFRSF6B,ENSG00000026036
ENSPANG00000020635,ENSPANT00000055095,,regulator of telomere elongation helicase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101006334],RTEL1,ENSG00000258366
ENSPANG00000020635,ENSPANT00000055095,,regulator of telomere elongation helicase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101006334],RTEL1-TNFRSF6B,ENSG00000026036
ENSPANG00000020653,ENSPANT00000012668,FAM124B,family with sequence similarity 124 member B [Source:NCBI gene (formerly Entrezgene);Acc:101025425],FAM124B,ENSG00000124019
ENSPANG00000020748,ENSPANT00000051220,,,GGT2,ENSG00000133475
ENSPANG00000020748,ENSPANT00000051220,,,GGT1,ENSG00000100031
