Gene stable ID,Transcript stable ID,Gene name,Gene description,Human gene name,Human gene stable ID
ENSPANG00000003568,ENSPANT00000002849,APBA3,amyloid beta precursor protein binding family A member 3 [Source:NCBI gene (formerly Entrezgene);Acc:100998144],APBA3,ENSG00000011132
ENSPANG00000003568,ENSPANT00000035964,APBA3,amyloid beta precursor protein binding family A member 3 [Source:NCBI gene (formerly Entrezgene);Acc:100998144],APBA3,ENSG00000011132
ENSPANG00000003572,ENSPANT00000015053,,,,
ENSPANG00000003697,ENSPANT00000009481,,acyl-CoA dehydrogenase family member 10 [Source:NCBI gene (formerly Entrezgene);Acc:100999613],ALDH2,ENSG00000111275
ENSPANG00000003697,ENSPANT00000009481,,acyl-CoA dehydrogenase family member 10 [Source:NCBI gene (formerly Entrezgene);Acc:100999613],AC002996.1,ENSG00000257767
ENSPANG00000003697,ENSPANT00000041104,,acyl-CoA dehydrogenase family member 10 [Source:NCBI gene (formerly Entrezgene);Acc:100999613],ALDH2,ENSG00000111275
ENSPANG00000003697,ENSPANT00000041104,,acyl-CoA dehydrogenase family member 10 [Source:NCBI gene (formerly Entrezgene);Acc:100999613],AC002996.1,ENSG00000257767
ENSPANG00000003697,ENSPANT00000048488,,acyl-CoA dehydrogenase family member 10 [Source:NCBI gene (formerly Entrezgene);Acc:100999613],ALDH2,ENSG00000111275
ENSPANG00000003697,ENSPANT00000048488,,acyl-CoA dehydrogenase family member 10 [Source:NCBI gene (formerly Entrezgene);Acc:100999613],AC002996.1,ENSG00000257767
ENSPANG00000003865,ENSPANT00000000956,HMGB3,high mobility group box 3 [Source:NCBI gene (formerly Entrezgene);Acc:101019418],HMGB3,ENSG00000029993
ENSPANG00000003914,ENSPANT00000021823,TOX4,TOX high mobility group box family member 4 [Source:NCBI gene (formerly Entrezgene);Acc:101026801],TOX4,ENSG00000092203
ENSPANG00000004036,ENSPANT00000047490,,NADH:ubiquinone oxidoreductase subunit A3 [Source:NCBI gene (formerly Entrezgene);Acc:101025484],NDUFA3,ENSG00000170906
ENSPANG00000004036,ENSPANT00000017048,,NADH:ubiquinone oxidoreductase subunit A3 [Source:NCBI gene (formerly Entrezgene);Acc:101025484],NDUFA3,ENSG00000170906
ENSPANG00000004038,ENSPANT00000004720,THOC2,THO complex 2 [Source:NCBI gene (formerly Entrezgene);Acc:101021758],THOC2,ENSG00000125676
ENSPANG00000004038,ENSPANT00000039671,THOC2,THO complex 2 [Source:NCBI gene (formerly Entrezgene);Acc:101021758],THOC2,ENSG00000125676
ENSPANG00000004038,ENSPANT00000057939,THOC2,THO complex 2 [Source:NCBI gene (formerly Entrezgene);Acc:101021758],THOC2,ENSG00000125676
ENSPANG00000004045,ENSPANT00000021486,PSMD9,"proteasome 26S subunit, non-ATPase 9 [Source:NCBI gene (formerly Entrezgene);Acc:101025669]",PSMD9,ENSG00000110801
ENSPANG00000004045,ENSPANT00000041462,PSMD9,"proteasome 26S subunit, non-ATPase 9 [Source:NCBI gene (formerly Entrezgene);Acc:101025669]",PSMD9,ENSG00000110801
ENSPANG00000004119,ENSPANT00000000426,,ETS transcription factor ELK1 [Source:NCBI gene (formerly Entrezgene);Acc:101021974],ELK1,ENSG00000126767
ENSPANG00000004119,ENSPANT00000035957,,ETS transcription factor ELK1 [Source:NCBI gene (formerly Entrezgene);Acc:101021974],ELK1,ENSG00000126767
ENSPANG00000004209,ENSPANT00000010384,,interferon-induced transmembrane protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:101015605],,
ENSPANG00000004470,ENSPANT00000037841,LBHD1,chromosome 12 C11orf98 homolog [Source:NCBI gene (formerly Entrezgene);Acc:101013653],LBHD1,ENSG00000162194
ENSPANG00000004470,ENSPANT00000048755,LBHD1,chromosome 12 C11orf98 homolog [Source:NCBI gene (formerly Entrezgene);Acc:101013653],LBHD1,ENSG00000162194
ENSPANG00000004470,ENSPANT00000004445,LBHD1,chromosome 12 C11orf98 homolog [Source:NCBI gene (formerly Entrezgene);Acc:101013653],LBHD1,ENSG00000162194
ENSPANG00000004507,ENSPANT00000011830,,eukaryotic translation initiation factor 2 subunit gamma [Source:NCBI gene (formerly Entrezgene);Acc:101005962],EIF2S3B,ENSG00000180574
ENSPANG00000004507,ENSPANT00000011830,,eukaryotic translation initiation factor 2 subunit gamma [Source:NCBI gene (formerly Entrezgene);Acc:101005962],EIF2S3,ENSG00000130741
ENSPANG00000004507,ENSPANT00000042453,,eukaryotic translation initiation factor 2 subunit gamma [Source:NCBI gene (formerly Entrezgene);Acc:101005962],EIF2S3B,ENSG00000180574
ENSPANG00000004507,ENSPANT00000042453,,eukaryotic translation initiation factor 2 subunit gamma [Source:NCBI gene (formerly Entrezgene);Acc:101005962],EIF2S3,ENSG00000130741
ENSPANG00000004507,ENSPANT00000055958,,eukaryotic translation initiation factor 2 subunit gamma [Source:NCBI gene (formerly Entrezgene);Acc:101005962],EIF2S3B,ENSG00000180574
ENSPANG00000004507,ENSPANT00000055958,,eukaryotic translation initiation factor 2 subunit gamma [Source:NCBI gene (formerly Entrezgene);Acc:101005962],EIF2S3,ENSG00000130741
ENSPANG00000004523,ENSPANT00000025804,,ADP ribosylation factor 1 [Source:NCBI gene (formerly Entrezgene);Acc:101026489],ARF1,ENSG00000143761
ENSPANG00000004892,ENSPANT00000006748,SLC22A17,solute carrier family 22 member 17 [Source:NCBI gene (formerly Entrezgene);Acc:101003746],SLC22A17,ENSG00000092096
ENSPANG00000004892,ENSPANT00000052777,SLC22A17,solute carrier family 22 member 17 [Source:NCBI gene (formerly Entrezgene);Acc:101003746],SLC22A17,ENSG00000092096
ENSPANG00000004892,ENSPANT00000053874,SLC22A17,solute carrier family 22 member 17 [Source:NCBI gene (formerly Entrezgene);Acc:101003746],SLC22A17,ENSG00000092096
ENSPANG00000004892,ENSPANT00000055741,SLC22A17,solute carrier family 22 member 17 [Source:NCBI gene (formerly Entrezgene);Acc:101003746],SLC22A17,ENSG00000092096
ENSPANG00000005161,ENSPANT00000011199,,60S ribosomal protein L32 [Source:NCBI gene (formerly Entrezgene);Acc:101009930],,
ENSPANG00000005274,ENSPANT00000039207,,branched chain keto acid dehydrogenase E1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:101006060],AC011462.1,ENSG00000255730
ENSPANG00000005274,ENSPANT00000039207,,branched chain keto acid dehydrogenase E1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:101006060],BCKDHA,ENSG00000248098
ENSPANG00000005274,ENSPANT00000055032,,branched chain keto acid dehydrogenase E1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:101006060],AC011462.1,ENSG00000255730
ENSPANG00000005274,ENSPANT00000055032,,branched chain keto acid dehydrogenase E1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:101006060],BCKDHA,ENSG00000248098
ENSPANG00000005274,ENSPANT00000003237,,branched chain keto acid dehydrogenase E1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:101006060],AC011462.1,ENSG00000255730
ENSPANG00000005274,ENSPANT00000003237,,branched chain keto acid dehydrogenase E1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:101006060],BCKDHA,ENSG00000248098
ENSPANG00000005274,ENSPANT00000040818,,branched chain keto acid dehydrogenase E1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:101006060],AC011462.1,ENSG00000255730
ENSPANG00000005274,ENSPANT00000040818,,branched chain keto acid dehydrogenase E1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:101006060],BCKDHA,ENSG00000248098
ENSPANG00000005411,ENSPANT00000042246,UBE2F,ubiquitin conjugating enzyme E2 F (putative) [Source:NCBI gene (formerly Entrezgene);Acc:101026368],UBE2F,ENSG00000184182
ENSPANG00000005411,ENSPANT00000016317,UBE2F,ubiquitin conjugating enzyme E2 F (putative) [Source:NCBI gene (formerly Entrezgene);Acc:101026368],UBE2F,ENSG00000184182
ENSPANG00000005411,ENSPANT00000046133,UBE2F,ubiquitin conjugating enzyme E2 F (putative) [Source:NCBI gene (formerly Entrezgene);Acc:101026368],UBE2F,ENSG00000184182
ENSPANG00000005411,ENSPANT00000055047,UBE2F,ubiquitin conjugating enzyme E2 F (putative) [Source:NCBI gene (formerly Entrezgene);Acc:101026368],UBE2F,ENSG00000184182
ENSPANG00000005411,ENSPANT00000054483,UBE2F,ubiquitin conjugating enzyme E2 F (putative) [Source:NCBI gene (formerly Entrezgene);Acc:101026368],UBE2F,ENSG00000184182
ENSPANG00000005411,ENSPANT00000048373,UBE2F,ubiquitin conjugating enzyme E2 F (putative) [Source:NCBI gene (formerly Entrezgene);Acc:101026368],UBE2F,ENSG00000184182
ENSPANG00000005411,ENSPANT00000045481,UBE2F,ubiquitin conjugating enzyme E2 F (putative) [Source:NCBI gene (formerly Entrezgene);Acc:101026368],UBE2F,ENSG00000184182
ENSPANG00000005431,ENSPANT00000021599,,,,
ENSPANG00000005513,ENSPANT00000031376,BOD1,biorientation of chromosomes in cell division 1 [Source:NCBI gene (formerly Entrezgene);Acc:101003156],BOD1,ENSG00000145919
ENSPANG00000005513,ENSPANT00000054585,BOD1,biorientation of chromosomes in cell division 1 [Source:NCBI gene (formerly Entrezgene);Acc:101003156],BOD1,ENSG00000145919
ENSPANG00000005513,ENSPANT00000009284,BOD1,biorientation of chromosomes in cell division 1 [Source:NCBI gene (formerly Entrezgene);Acc:101003156],BOD1,ENSG00000145919
ENSPANG00000005571,ENSPANT00000004507,SSR2,signal sequence receptor subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:101026256],SSR2,ENSG00000163479
ENSPANG00000005571,ENSPANT00000031623,SSR2,signal sequence receptor subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:101026256],SSR2,ENSG00000163479
ENSPANG00000005571,ENSPANT00000045841,SSR2,signal sequence receptor subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:101026256],SSR2,ENSG00000163479
ENSPANG00000005723,ENSPANT00000022735,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000022735,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005723,ENSPANT00000043213,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000043213,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005723,ENSPANT00000056724,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000056724,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005723,ENSPANT00000048345,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000048345,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005723,ENSPANT00000044260,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000044260,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005723,ENSPANT00000031184,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000031184,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005723,ENSPANT00000039593,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000039593,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005723,ENSPANT00000053275,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000053275,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005723,ENSPANT00000051789,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000051789,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005723,ENSPANT00000038017,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ACY1,ENSG00000243989
ENSPANG00000005723,ENSPANT00000038017,,aminoacylase-1 [Source:NCBI gene (formerly Entrezgene);Acc:101019806],ABHD14A-ACY1,ENSG00000114786
ENSPANG00000005767,ENSPANT00000020267,,,CLIC1,ENSG00000213719
ENSPANG00000005767,ENSPANT00000044887,,,CLIC1,ENSG00000213719
ENSPANG00000005950,ENSPANT00000003629,EIF3F,eukaryotic translation initiation factor 3 subunit F [Source:NCBI gene (formerly Entrezgene);Acc:101024512],EIF3F,ENSG00000175390
ENSPANG00000005950,ENSPANT00000056599,EIF3F,eukaryotic translation initiation factor 3 subunit F [Source:NCBI gene (formerly Entrezgene);Acc:101024512],EIF3F,ENSG00000175390
ENSPANG00000006056,ENSPANT00000027707,,,,
ENSPANG00000006056,ENSPANT00000052563,,,,
ENSPANG00000006303,ENSPANT00000048267,,RAS p21 protein activator 4B [Source:NCBI gene (formerly Entrezgene);Acc:100998235],RASA4,ENSG00000105808
ENSPANG00000006303,ENSPANT00000048267,,RAS p21 protein activator 4B [Source:NCBI gene (formerly Entrezgene);Acc:100998235],RASA4B,ENSG00000170667
ENSPANG00000006303,ENSPANT00000027434,,RAS p21 protein activator 4B [Source:NCBI gene (formerly Entrezgene);Acc:100998235],RASA4,ENSG00000105808
ENSPANG00000006303,ENSPANT00000027434,,RAS p21 protein activator 4B [Source:NCBI gene (formerly Entrezgene);Acc:100998235],RASA4B,ENSG00000170667
ENSPANG00000006571,ENSPANT00000025526,,,,
ENSPANG00000006772,ENSPANT00000010297,CCDC141,coiled-coil domain containing 141 [Source:NCBI gene (formerly Entrezgene);Acc:100998895],CCDC141,ENSG00000163492
ENSPANG00000006896,ENSPANT00000008566,,nuclear envelope pore membrane protein POM 121C [Source:NCBI gene (formerly Entrezgene);Acc:101007877],POM121C,ENSG00000272391
ENSPANG00000006896,ENSPANT00000008566,,nuclear envelope pore membrane protein POM 121C [Source:NCBI gene (formerly Entrezgene);Acc:101007877],POM121,ENSG00000196313
ENSPANG00000006896,ENSPANT00000039789,,nuclear envelope pore membrane protein POM 121C [Source:NCBI gene (formerly Entrezgene);Acc:101007877],POM121C,ENSG00000272391
ENSPANG00000006896,ENSPANT00000039789,,nuclear envelope pore membrane protein POM 121C [Source:NCBI gene (formerly Entrezgene);Acc:101007877],POM121,ENSG00000196313
ENSPANG00000006919,ENSPANT00000022274,,INO80 complex subunit B [Source:NCBI gene (formerly Entrezgene);Acc:101019219],INO80B-WBP1,ENSG00000274049
ENSPANG00000006919,ENSPANT00000022274,,INO80 complex subunit B [Source:NCBI gene (formerly Entrezgene);Acc:101019219],INO80B,ENSG00000115274
ENSPANG00000006937,ENSPANT00000018731,FBRS,fibrosin [Source:NCBI gene (formerly Entrezgene);Acc:101014640],FBRS,ENSG00000156860
ENSPANG00000006937,ENSPANT00000056330,FBRS,fibrosin [Source:NCBI gene (formerly Entrezgene);Acc:101014640],FBRS,ENSG00000156860
ENSPANG00000007070,ENSPANT00000025024,,zinc finger protein 79-like [Source:NCBI gene (formerly Entrezgene);Acc:101022738],AC092835.1,ENSG00000233757
ENSPANG00000007280,ENSPANT00000010138,,heat shock protein family B (small) member 2 [Source:NCBI gene (formerly Entrezgene);Acc:101007984],HSPB2-C11orf52,ENSG00000254445
ENSPANG00000007280,ENSPANT00000010138,,heat shock protein family B (small) member 2 [Source:NCBI gene (formerly Entrezgene);Acc:101007984],HSPB2,ENSG00000170276
ENSPANG00000007615,ENSPANT00000009926,,,,
ENSPANG00000007618,ENSPANT00000009086,,alpha-crystallin A chain [Source:NCBI gene (formerly Entrezgene);Acc:101006600],CRYAA2,ENSG00000276076
ENSPANG00000007618,ENSPANT00000009086,,alpha-crystallin A chain [Source:NCBI gene (formerly Entrezgene);Acc:101006600],CRYAA,ENSG00000160202
ENSPANG00000007618,ENSPANT00000041758,,alpha-crystallin A chain [Source:NCBI gene (formerly Entrezgene);Acc:101006600],CRYAA2,ENSG00000276076
ENSPANG00000007618,ENSPANT00000041758,,alpha-crystallin A chain [Source:NCBI gene (formerly Entrezgene);Acc:101006600],CRYAA,ENSG00000160202
ENSPANG00000007618,ENSPANT00000047471,,alpha-crystallin A chain [Source:NCBI gene (formerly Entrezgene);Acc:101006600],CRYAA2,ENSG00000276076
ENSPANG00000007618,ENSPANT00000047471,,alpha-crystallin A chain [Source:NCBI gene (formerly Entrezgene);Acc:101006600],CRYAA,ENSG00000160202
ENSPANG00000007835,ENSPANT00000007517,ATP6V0E2,V-type proton ATPase subunit e 2 [Source:NCBI gene (formerly Entrezgene);Acc:101008111],ATP6V0E2,ENSG00000171130
ENSPANG00000007835,ENSPANT00000052080,ATP6V0E2,V-type proton ATPase subunit e 2 [Source:NCBI gene (formerly Entrezgene);Acc:101008111],ATP6V0E2,ENSG00000171130
ENSPANG00000008022,ENSPANT00000018240,,"HRas proto-oncogene, GTPase [Source:NCBI gene (formerly Entrezgene);Acc:101002992]",HRAS,ENSG00000174775
ENSPANG00000008022,ENSPANT00000031747,,"HRas proto-oncogene, GTPase [Source:NCBI gene (formerly Entrezgene);Acc:101002992]",HRAS,ENSG00000174775
ENSPANG00000008030,ENSPANT00000036021,YTHDF3,YTH N6-methyladenosine RNA binding protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:101018601],YTHDF3,ENSG00000185728
ENSPANG00000008030,ENSPANT00000057155,YTHDF3,YTH N6-methyladenosine RNA binding protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:101018601],YTHDF3,ENSG00000185728
ENSPANG00000008030,ENSPANT00000002691,YTHDF3,YTH N6-methyladenosine RNA binding protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:101018601],YTHDF3,ENSG00000185728
ENSPANG00000008030,ENSPANT00000039860,YTHDF3,YTH N6-methyladenosine RNA binding protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:101018601],YTHDF3,ENSG00000185728
ENSPANG00000008041,ENSPANT00000013429,,ribosomal protein S19 [Source:NCBI gene (formerly Entrezgene);Acc:101012249],,
ENSPANG00000008072,ENSPANT00000043076,WRNIP1,WRN helicase interacting protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:101009731],WRNIP1,ENSG00000124535
ENSPANG00000008072,ENSPANT00000021347,WRNIP1,WRN helicase interacting protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:101009731],WRNIP1,ENSG00000124535
ENSPANG00000008224,ENSPANT00000017893,,interferon-induced transmembrane protein 3 pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101001352],,
ENSPANG00000008418,ENSPANT00000001833,,sialic acid binding Ig like lectin 11 [Source:NCBI gene (formerly Entrezgene);Acc:101019980],SIGLEC11,ENSG00000161640
ENSPANG00000008418,ENSPANT00000009648,,sialic acid binding Ig like lectin 11 [Source:NCBI gene (formerly Entrezgene);Acc:101019980],SIGLEC11,ENSG00000161640
ENSPANG00000008510,ENSPANT00000052493,ASPH,aspartate beta-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:101012983],ASPH,ENSG00000198363
ENSPANG00000008510,ENSPANT00000041714,ASPH,aspartate beta-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:101012983],ASPH,ENSG00000198363
ENSPANG00000008510,ENSPANT00000042779,ASPH,aspartate beta-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:101012983],ASPH,ENSG00000198363
ENSPANG00000008510,ENSPANT00000010552,ASPH,aspartate beta-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:101012983],ASPH,ENSG00000198363
ENSPANG00000008510,ENSPANT00000041864,ASPH,aspartate beta-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:101012983],ASPH,ENSG00000198363
ENSPANG00000008510,ENSPANT00000040342,ASPH,aspartate beta-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:101012983],ASPH,ENSG00000198363
ENSPANG00000008510,ENSPANT00000049943,ASPH,aspartate beta-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:101012983],ASPH,ENSG00000198363
ENSPANG00000008510,ENSPANT00000050800,ASPH,aspartate beta-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:101012983],ASPH,ENSG00000198363
ENSPANG00000008510,ENSPANT00000058962,ASPH,aspartate beta-hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:101012983],ASPH,ENSG00000198363
ENSPANG00000008539,ENSPANT00000011827,PPP1R13L,protein phosphatase 1 regulatory subunit 13 like [Source:NCBI gene (formerly Entrezgene);Acc:101024558],PPP1R13L,ENSG00000104881
ENSPANG00000008595,ENSPANT00000050135,,double C2-like domain-containing protein gamma [Source:NCBI gene (formerly Entrezgene);Acc:101019569],,
ENSPANG00000008595,ENSPANT00000040636,,double C2-like domain-containing protein gamma [Source:NCBI gene (formerly Entrezgene);Acc:101019569],,
ENSPANG00000008595,ENSPANT00000016215,,double C2-like domain-containing protein gamma [Source:NCBI gene (formerly Entrezgene);Acc:101019569],,
ENSPANG00000008623,ENSPANT00000019960,TMEM117,transmembrane protein 117 [Source:NCBI gene (formerly Entrezgene);Acc:101009797],TMEM117,ENSG00000139173
ENSPANG00000008623,ENSPANT00000017311,TMEM117,transmembrane protein 117 [Source:NCBI gene (formerly Entrezgene);Acc:101009797],TMEM117,ENSG00000139173
