Gene stable ID,Transcript stable ID,Gene name,Gene description,Human gene name,Human gene stable ID
ENSPANG00000025484,ENSPANT00000026719,DUSP3,dual specificity phosphatase 3 [Source:NCBI gene (formerly Entrezgene);Acc:101012797],DUSP3,ENSG00000108861
ENSPANG00000033208,ENSPANT00000047026,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000033375,ENSPANT00000057190,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014093,ENSPANT00000029098,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000001492,ENSPANT00000000890,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014378,ENSPANT00000009934,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035486,ENSPANT00000043040,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000032250,ENSPANT00000059143,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000003510,ENSPANT00000029047,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035770,ENSPANT00000053145,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000026893,ENSPANT00000011657,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000033509,ENSPANT00000054387,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034449,ENSPANT00000041453,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034651,ENSPANT00000027175,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029542,ENSPANT00000033149,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035830,ENSPANT00000046060,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002346,ENSPANT00000017622,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002822,ENSPANT00000019157,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034461,ENSPANT00000050748,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000004705,ENSPANT00000015840,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000027303,ENSPANT00000019613,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000003820,ENSPANT00000013191,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000000416,ENSPANT00000001445,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000019779,ENSPANT00000017813,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031594,ENSPANT00000009634,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000015486,ENSPANT00000017278,SLC40A1,solute carrier family 40 member 1 [Source:NCBI gene (formerly Entrezgene);Acc:101001469],SLC40A1,ENSG00000138449
ENSPANG00000029611,ENSPANT00000053982,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031336,ENSPANT00000051934,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000006909,ENSPANT00000002930,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034111,ENSPANT00000031973,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000000739,ENSPANT00000021788,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000013658,ENSPANT00000008122,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000025417,ENSPANT00000004636,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000009459,ENSPANT00000010912,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000006591,ENSPANT00000012757,SSR4,signal sequence receptor subunit 4 [Source:NCBI gene (formerly Entrezgene);Acc:101017977],SSR4,ENSG00000180879
ENSPANG00000006591,ENSPANT00000056332,SSR4,signal sequence receptor subunit 4 [Source:NCBI gene (formerly Entrezgene);Acc:101017977],SSR4,ENSG00000180879
ENSPANG00000019469,ENSPANT00000001626,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000033563,ENSPANT00000044717,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000005111,ENSPANT00000011937,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000022772,ENSPANT00000029008,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000009998,ENSPANT00000002353,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000018721,ENSPANT00000028281,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014005,ENSPANT00000005577,ZNF581,zinc finger protein 581 [Source:NCBI gene (formerly Entrezgene);Acc:100997217],ZNF581,ENSG00000171425
ENSPANG00000036072,ENSPANT00000031291,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000012619,ENSPANT00000005993,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000009997,ENSPANT00000013512,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002861,ENSPANT00000028060,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030832,ENSPANT00000054515,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000011650,ENSPANT00000021264,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000032215,ENSPANT00000055812,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000025388,ENSPANT00000018438,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014797,ENSPANT00000003206,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002099,ENSPANT00000016235,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002045,ENSPANT00000019940,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000001464,ENSPANT00000014734,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035577,ENSPANT00000044423,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002539,ENSPANT00000027836,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031586,ENSPANT00000032686,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034414,ENSPANT00000044622,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000024152,ENSPANT00000005245,TMTC4,transmembrane O-mannosyltransferase targeting cadherins 4 [Source:NCBI gene (formerly Entrezgene);Acc:100997669],TMTC4,ENSG00000125247
ENSPANG00000024152,ENSPANT00000050202,TMTC4,transmembrane O-mannosyltransferase targeting cadherins 4 [Source:NCBI gene (formerly Entrezgene);Acc:100997669],TMTC4,ENSG00000125247
ENSPANG00000024152,ENSPANT00000044674,TMTC4,transmembrane O-mannosyltransferase targeting cadherins 4 [Source:NCBI gene (formerly Entrezgene);Acc:100997669],TMTC4,ENSG00000125247
ENSPANG00000024152,ENSPANT00000054694,TMTC4,transmembrane O-mannosyltransferase targeting cadherins 4 [Source:NCBI gene (formerly Entrezgene);Acc:100997669],TMTC4,ENSG00000125247
ENSPANG00000027483,ENSPANT00000014258,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000003073,ENSPANT00000018117,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000007080,ENSPANT00000004385,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029242,ENSPANT00000045498,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000017704,ENSPANT00000028292,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029262,ENSPANT00000032711,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030422,ENSPANT00000033041,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034095,ENSPANT00000037449,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000020575,ENSPANT00000026642,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000001525,ENSPANT00000015740,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030637,ENSPANT00000052759,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030672,ENSPANT00000055336,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035994,ENSPANT00000022457,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000004730,ENSPANT00000013326,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000032566,ENSPANT00000041117,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000032244,ENSPANT00000035191,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002003,ENSPANT00000019574,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002229,ENSPANT00000013508,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000000939,ENSPANT00000014969,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000004590,ENSPANT00000020779,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034854,ENSPANT00000044749,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000015244,ENSPANT00000013882,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035001,ENSPANT00000054152,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000012644,ENSPANT00000018137,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030389,ENSPANT00000049129,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000001299,ENSPANT00000005329,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002551,ENSPANT00000012816,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000001906,ENSPANT00000027084,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000008789,ENSPANT00000015638,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000019072,ENSPANT00000027019,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000027314,ENSPANT00000014008,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000032885,ENSPANT00000039017,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000026413,ENSPANT00000026221,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000013203,ENSPANT00000024933,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000001484,ENSPANT00000003046,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014760,ENSPANT00000007730,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034512,ENSPANT00000058645,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000015496,ENSPANT00000013384,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000003844,ENSPANT00000004798,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031388,ENSPANT00000050219,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000016667,ENSPANT00000028070,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000036013,ENSPANT00000043036,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000032471,ENSPANT00000051273,NQO1,NAD(P)H quinone dehydrogenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101010724],NQO1,ENSG00000181019
ENSPANG00000032471,ENSPANT00000049741,NQO1,NAD(P)H quinone dehydrogenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101010724],NQO1,ENSG00000181019
ENSPANG00000032471,ENSPANT00000053913,NQO1,NAD(P)H quinone dehydrogenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101010724],NQO1,ENSG00000181019
ENSPANG00000032471,ENSPANT00000054354,NQO1,NAD(P)H quinone dehydrogenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101010724],NQO1,ENSG00000181019
ENSPANG00000032471,ENSPANT00000050101,NQO1,NAD(P)H quinone dehydrogenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:101010724],NQO1,ENSG00000181019
ENSPANG00000003417,ENSPANT00000011618,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000003784,ENSPANT00000001480,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000007297,ENSPANT00000012171,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000026552,ENSPANT00000026368,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029388,ENSPANT00000039803,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000001605,ENSPANT00000023942,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000008724,ENSPANT00000013826,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014980,ENSPANT00000022167,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002856,ENSPANT00000027403,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000027478,ENSPANT00000005994,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031789,ENSPANT00000031937,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000006725,ENSPANT00000023983,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014678,ENSPANT00000007720,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000005984,ENSPANT00000018737,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000032812,ENSPANT00000056610,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000010221,ENSPANT00000017977,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000008013,ENSPANT00000012866,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000018176,ENSPANT00000014752,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000015491,ENSPANT00000008439,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014516,ENSPANT00000006679,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030219,ENSPANT00000054281,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035480,ENSPANT00000000243,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030747,ENSPANT00000056293,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000021887,ENSPANT00000014241,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030260,ENSPANT00000050277,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030528,ENSPANT00000046863,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035940,ENSPANT00000037015,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000018577,ENSPANT00000015374,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000015438,ENSPANT00000019265,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031668,ENSPANT00000039222,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000027060,ENSPANT00000015834,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000003474,ENSPANT00000010420,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000026744,ENSPANT00000014307,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000016151,ENSPANT00000018055,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030946,ENSPANT00000050445,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000027215,ENSPANT00000021735,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000027154,ENSPANT00000004879,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002137,ENSPANT00000020938,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000012000,ENSPANT00000009054,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031232,ENSPANT00000037482,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034046,ENSPANT00000058259,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000006015,ENSPANT00000009076,EGF,epidermal growth factor [Source:NCBI gene (formerly Entrezgene);Acc:101026665],EGF,ENSG00000138798
ENSPANG00000006015,ENSPANT00000050749,EGF,epidermal growth factor [Source:NCBI gene (formerly Entrezgene);Acc:101026665],EGF,ENSG00000138798
ENSPANG00000006015,ENSPANT00000026671,EGF,epidermal growth factor [Source:NCBI gene (formerly Entrezgene);Acc:101026665],EGF,ENSG00000138798
ENSPANG00000006015,ENSPANT00000051115,EGF,epidermal growth factor [Source:NCBI gene (formerly Entrezgene);Acc:101026665],EGF,ENSG00000138798
ENSPANG00000029755,ENSPANT00000033275,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000018364,ENSPANT00000022406,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031847,ENSPANT00000033019,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000004718,ENSPANT00000017486,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014990,ENSPANT00000015067,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000011801,ENSPANT00000002685,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002679,ENSPANT00000018380,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034156,ENSPANT00000050895,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031966,ENSPANT00000019100,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034770,ENSPANT00000035787,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000003521,ENSPANT00000005488,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000013712,ENSPANT00000018999,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000004014,ENSPANT00000000903,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000008830,ENSPANT00000004028,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000016152,ENSPANT00000017677,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000008868,ENSPANT00000023138,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000015594,ENSPANT00000000737,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000026583,ENSPANT00000007306,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000012894,ENSPANT00000013242,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000012843,ENSPANT00000027570,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000006951,ENSPANT00000019155,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000011428,ENSPANT00000026000,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000027532,ENSPANT00000000380,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000033859,ENSPANT00000045239,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031429,ENSPANT00000035128,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000004052,ENSPANT00000019427,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034590,ENSPANT00000047424,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000027258,ENSPANT00000002873,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000010354,ENSPANT00000006548,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030937,ENSPANT00000037550,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031078,ENSPANT00000043963,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029823,ENSPANT00000047215,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031008,ENSPANT00000046909,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000026588,ENSPANT00000011767,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035663,ENSPANT00000052983,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000015520,ENSPANT00000000739,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000033262,ENSPANT00000055845,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000019376,ENSPANT00000014916,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000004428,ENSPANT00000017324,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000033803,ENSPANT00000055153,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000017873,ENSPANT00000015329,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029295,ENSPANT00000044721,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030783,ENSPANT00000036431,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000010301,ENSPANT00000020482,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030185,ENSPANT00000042276,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000023218,ENSPANT00000020101,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000011038,ENSPANT00000003582,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000027099,ENSPANT00000007626,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034530,ENSPANT00000037450,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029763,ENSPANT00000035107,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000013166,ENSPANT00000000804,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030088,ENSPANT00000055693,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000011389,ENSPANT00000006451,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
